miRNA,PMID,Entrez Gene Id
hsa-let-7a,17308078,97
hsa-let-7a,17308078,231
hsa-let-7a,17308078,306
hsa-let-7a,17308078,311
hsa-let-7a,17308078,475
hsa-let-7a,17308078,483
hsa-let-7a,17308078,590
hsa-let-7a,17308078,597
hsa-let-7a,17308078,694
hsa-let-7a,17308078,734
hsa-let-7a,17308078,800
hsa-let-7a,17308078,970
hsa-let-7a,17308078,1021
hsa-let-7a,17308078,1114
hsa-let-7a,17308078,1130
hsa-let-7a,17308078,1191
hsa-let-7a,17308078,1284
hsa-let-7a,17308078,1286
hsa-let-7a,17308078,1288
hsa-let-7a,17308078,1289
hsa-let-7a,17308078,1301
hsa-let-7a,17308078,1350
hsa-let-7a,17308078,1462
hsa-let-7a,17308078,1491
hsa-let-7a,17308078,1514
hsa-let-7a,17308078,1525
hsa-let-7a,17308078,1545
hsa-let-7a,17308078,1591
hsa-let-7a,17308078,1604
hsa-let-7a,17308078,1612
hsa-let-7a,17308078,1687
hsa-let-7a,17308078,1734
hsa-let-7a,17308078,1809
hsa-let-7a,17308078,1847
hsa-let-7a,17308078,1942
hsa-let-7a,17308078,1982
hsa-let-7a,17308078,1983
hsa-let-7a,17308078,1999
hsa-let-7a,17308078,2037
hsa-let-7a,17308078,2118
hsa-let-7a,17308078,2195
hsa-let-7a,17308078,2202
hsa-let-7a,17308078,2244
hsa-let-7a,17308078,2266
hsa-let-7a,17308078,2267
hsa-let-7a,17308078,2296
hsa-let-7a,17308078,2317
hsa-let-7a,17308078,2589
hsa-let-7a,17308078,2697
hsa-let-7a,17308078,2744
hsa-let-7a,17308078,2745
hsa-let-7a,17308078,2817
hsa-let-7a,17308078,2919
hsa-let-7a,17308078,2921
hsa-let-7a,17308078,3169
hsa-let-7a,17308078,3320
hsa-let-7a,17308078,3324
hsa-let-7a,17308078,3845
hsa-let-7a,17308078,3857
hsa-let-7a,17308078,3891
hsa-let-7a,17308078,3914
hsa-let-7a,17308078,3927
hsa-let-7a,17308078,3959
hsa-let-7a,17308078,3983
hsa-let-7a,17308078,4017
hsa-let-7a,17308078,4101
hsa-let-7a,17308078,4147
hsa-let-7a,17308078,4240
hsa-let-7a,17308078,4501
hsa-let-7a,17308078,4502
hsa-let-7a,17308078,4780
hsa-let-7a,17308078,4837
hsa-let-7a,17308078,4854
hsa-let-7a,17308078,5052
hsa-let-7a,17308078,5111
hsa-let-7a,17308078,5226
hsa-let-7a,17308078,5321
hsa-let-7a,17308078,5423
hsa-let-7a,17308078,5445
hsa-let-7a,17308078,5468
hsa-let-7a,17308078,5782
hsa-let-7a,17308078,5792
hsa-let-7a,17308078,5805
hsa-let-7a,17308078,6130
hsa-let-7a,17308078,6303
hsa-let-7a,17308078,6374
hsa-let-7a,17308078,6389
hsa-let-7a,17308078,6422
hsa-let-7a,17308078,6558
hsa-let-7a,17308078,6678
hsa-let-7a,17308078,6695
hsa-let-7a,17308078,6820
hsa-let-7a,17308078,7035
hsa-let-7a,17308078,7042
hsa-let-7a,17308078,7417
hsa-let-7a,17308078,7431
hsa-let-7a,17308078,7494
hsa-let-7a,17308078,8239
hsa-let-7a,17308078,8309
hsa-let-7a,17308078,8544
hsa-let-7a,17308078,8564
hsa-let-7a,17308078,8828
hsa-let-7a,17308078,8870
hsa-let-7a,17308078,9314
hsa-let-7a,17308078,9334
hsa-let-7a,17308078,9467
hsa-let-7a,17308078,9536
hsa-let-7a,17308078,9545
hsa-let-7a,17308078,9590
hsa-let-7a,17308078,9749
hsa-let-7a,17308078,9962
hsa-let-7a,17308078,10096
hsa-let-7a,17308078,10397
hsa-let-7a,17308078,10527
hsa-let-7a,17308078,10769
hsa-let-7a,17308078,10956
hsa-let-7a,17308078,11098
hsa-let-7a,17308078,11145
hsa-let-7a,17308078,11146
hsa-let-7a,17308078,11199
hsa-let-7a,17308078,22943
hsa-let-7a,17308078,23092
hsa-let-7a,17308078,23286
hsa-let-7a,17308078,23301
hsa-let-7a,17308078,23406
hsa-let-7a,17308078,23471
hsa-let-7a,17308078,23603
hsa-let-7a,17308078,23710
hsa-let-7a,17308078,23766
hsa-let-7a,17308078,26207
hsa-let-7a,17308078,28984
hsa-let-7a,17308078,29058
hsa-let-7a,17308078,51704
hsa-let-7a,17308078,54206
hsa-let-7a,17308078,54407
hsa-let-7a,17308078,54438
hsa-let-7a,17308078,54453
hsa-let-7a,17308078,54997
hsa-let-7a,17308078,55366
hsa-let-7a,17308078,55500
hsa-let-7a,17308078,55568
hsa-let-7a,17308078,55612
hsa-let-7a,17308078,55959
hsa-let-7a,17308078,56937
hsa-let-7a,17308078,57016
hsa-let-7a,17308078,59271
hsa-let-7a,17308078,64065
hsa-let-7a,17308078,64093
hsa-let-7a,17308078,64786
hsa-let-7a,17308078,79710
hsa-let-7a,17308078,79875
hsa-let-7a,17308078,80315
hsa-let-7a,17308078,81610
hsa-let-7a,17308078,83641
hsa-let-7a,17308078,83871
hsa-let-7a,17308078,83877
hsa-let-7a,17308078,84310
hsa-let-7a,17308078,84418
hsa-let-7a,17308078,84658
hsa-let-7a,17308078,84669
hsa-let-7a,17308078,84918
hsa-let-7a,17308078,90701
hsa-let-7a,17308078,90956
hsa-let-7a,17308078,91523
hsa-let-7a,17308078,91775
hsa-let-7a,17308078,93594
hsa-let-7a,17308078,114294
hsa-let-7a,17308078,114805
hsa-let-7a,17308078,125875
hsa-let-7a,17308078,126321
hsa-let-7a,17308078,130120
hsa-let-7a,17308078,132299
hsa-let-7a,17308078,142891
hsa-let-7a,17308078,145748
hsa-let-7a,17308078,152663
hsa-let-7a,17308078,157638
hsa-let-7a,17308078,160287
hsa-let-7a,17308078,160760
hsa-let-7a,17308078,169792
hsa-let-7a,17308078,171177
hsa-let-7a,17308078,221662
hsa-let-7a,17308078,266740
hsa-let-7a,17308078,284996
hsa-let-7a,17308078,285761
hsa-let-7a,17308078,360200
hsa-let-7a,17308078,388474
hsa-let-7a,17308078,388610
hsa-let-7a,17308078,441034
hsa-let-7a,17308078,441282
hsa-let-7a,17308078,642975
hsa-let-7a,17308078,644029
hsa-let-7a,17308078,645822
hsa-let-7a,17308078,646243
hsa-let-7a,17308078,728139
hsa-let-7a,17308078,728992
hsa-let-7b,17699775,91
hsa-let-7b,17699775,214
hsa-let-7b,17699775,218
hsa-let-7b,17699775,316
hsa-let-7b,17699775,360
hsa-let-7b,17699775,734
hsa-let-7b,17699775,890
hsa-let-7b,17699775,928
hsa-let-7b,17699775,978
hsa-let-7b,17699775,997
hsa-let-7b,17699775,1024
hsa-let-7b,17699775,1287
hsa-let-7b,17699775,1291
hsa-let-7b,17699775,1371
hsa-let-7b,17699775,1503
hsa-let-7b,17699775,1577
hsa-let-7b,17699775,1604
hsa-let-7b,17699775,1644
hsa-let-7b,17699775,1798
hsa-let-7b,17699775,1875
hsa-let-7b,17699775,2149
hsa-let-7b,17699775,2531
hsa-let-7b,17699775,2582
hsa-let-7b,17699775,2635
hsa-let-7b,17699775,2720
hsa-let-7b,17699775,2782
hsa-let-7b,17699775,2787
hsa-let-7b,17699775,3070
hsa-let-7b,17699775,3098
hsa-let-7b,17699775,3161
hsa-let-7b,17699775,3183
